732,Hon GuestStacker Chair,Harold Engle,58502,28.16,Manitoba,Chairs & Chairmats,0.59
733,Belkin ErgoBoard� Keyboard,Christopher Schild,58788,6.5,Manitoba,Computer Peripherals,0.64
734,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Helen Abelman,58947,2.87,Manitoba,Paper,0.4
735,Xerox 1989,Helen Abelman,58947,5.02,Manitoba,Paper,0.38
736,"GE 4 Foot Flourescent Tube, 40 Watt",Jack Lebron,59074,8.99,British Columbia,Office Furnishings,0.39
737,"Bush Westfield Collection Bookcases, Fully Assembled",Jack Lebron,59233,35.84,British Columbia,Bookcases,0.62
738,Nu-Dell Leatherette Frames,Jack Lebron,59233,5,British Columbia,Office Furnishings,0.49
739,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Giulietta Baptist,59425,6.13,British Columbia,Computer Peripherals,0.45
740,"Snap-A-Way� Black Print Carbonless Ruled Speed Letter, Triplicate",Giulietta Baptist,59425,5.08,British Columbia,Paper,0.38
741,Xerox 1994,Jim Sink,59750,5.74,British Columbia,Paper,0.37
742,Dixon Ticonderoga Core-Lock Colored Pencils,Julie Creighton,35,2.25,British Columbia,Pens & Art Supplies,0.52
743,CF 688,Julie Creighton,35,8.99,British Columbia,Telephones and Communication,0.58
744,Fellowes Staxonsteel� Drawer Files,Sanjit Chand,294,19.99,British Columbia,Storage & Organization,0.71
745,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Matt Collins,450,8.99,British Columbia,Pens & Art Supplies,0.56
746,Hanging Personal Folder File,Matt Collins,450,11.25,British Columbia,Storage & Organization,0.6
747,"Memorex 4.7GB DVD+RW, 3/Pack",Matt Collins,1028,1.99,British Columbia,Computer Peripherals,0.4
748,3285,Matt Collins,1028,5.99,British Columbia,Telephones and Communication,0.59
749,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Justin Knight,1314,4.39,British Columbia,Paper,0.38
750,Office Star - Task Chair with Contemporary Loop Arms,Rob Haberlin,2279,30,British Columbia,Chairs & Chairmats,0.61
751,Acco Perma� 3000 Stacking Storage Drawers,Rob Haberlin,2279,5.42,British Columbia,Storage & Organization,0.66
752,"80 Minute CD-R Spindle, 100/Pack - Staples",Rob Haberlin,2465,1.99,British Columbia,Computer Peripherals,0.54
753,Avery 479,Rob Haberlin,2530,0.5,British Columbia,Labels,0.39
754,Fellowes Bankers Box� Staxonsteel� Drawer File/Stacking System,Rob Haberlin,2883,6.88,British Columbia,Storage & Organization,0.73
755,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Christina Vanderzanden,3362,1.99,British Columbia,Computer Peripherals,0.44
756,Eldon� Gobal File Keepers,Christina Vanderzanden,3362,4.53,British Columbia,Storage & Organization,0.81
757,Kensington 7 Outlet MasterPiece� HOMEOFFICE Power Control Center,Matt Collins,5318,0.99,British Columbia,Appliances,0.55
758,2160i,Matt Collins,5318,4.2,British Columbia,Telephones and Communication,0.59
759,Sharp AL-1530CS Digital Copier,Sanjit Chand,5988,24.49,British Columbia,Copiers and Fax,0.36
760,"Seth Thomas 13 1/2"" Wall Clock",Matt Collins,6115,5.03,British Columbia,Office Furnishings,0.54
761,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Justin Knight,6337,37.58,British Columbia,Office Furnishings,0.78
762,Bretford Rectangular Conference Table Tops,Justin Knight,6337,85.63,British Columbia,Tables,0.74
763,Wirebound Voice Message Log Book,Rob Haberlin,6434,0.88,British Columbia,Paper,0.39
764,"80 Minute CD-R Spindle, 100/Pack - Staples",Lena Cacioppo,7136,1.99,British Columbia,Computer Peripherals,0.54
765,Avery 493,Lena Cacioppo,7136,0.5,British Columbia,Labels,0.36
766,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Kimberly Carter,7489,23.58,British Columbia,Bookcases,0.74
767,Novimex Swivel Fabric Task Chair,Gene Hale,7968,30,British Columbia,Chairs & Chairmats,0.74
768,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Christina Vanderzanden,8227,2.39,British Columbia,Computer Peripherals,0.72
769,Project Tote Personal File,Matt Collins,9123,9.37,British Columbia,Storage & Organization,0.56
770,3M Organizer Strips,Sally Knutson,9792,7.78,British Columbia,Binders and Binder Accessories,0.37
771,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Kimberly Carter,9860,3.52,British Columbia,Computer Peripherals,0.68
772,"Sanford Colorific Colored Pencils, 12/Box",Christina Vanderzanden,10310,1.01,British Columbia,Pens & Art Supplies,0.55
773,R380,Christina Vanderzanden,10310,3.99,British Columbia,Telephones and Communication,0.58
774,Xerox 1899,Kimberly Carter,10369,4.96,British Columbia,Paper,0.36
775,"Imation IBM Formatted Diskettes, 100/Pack",Kimberly Carter,10369,8.99,British Columbia,Computer Peripherals,0.7
776,Barrel Sharpener,Rob Haberlin,10692,4.17,British Columbia,Pens & Art Supplies,0.59
777,2160i,Rob Haberlin,10692,4.2,British Columbia,Telephones and Communication,0.59
778,A1228,Rob Haberlin,10692,8.99,British Columbia,Telephones and Communication,0.58
779,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Justin Knight,11553,19.99,British Columbia,Storage & Organization,0.81
780,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Justin Knight,11553,57.38,British Columbia,Bookcases,0.78
781,Accessory34,Justin Knight,11553,0.99,British Columbia,Telephones and Communication,0.55
782,Bagged Rubber Bands,Christina Vanderzanden,11776,0.7,British Columbia,Rubber Bands,0.81
783,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Marina Lichtenstein,11782,4.75,British Columbia,Paper,0.36
784,"Panasonic All Digital Answering System with Caller ID*, KX-TM150B",Marina Lichtenstein,11782,13.99,British Columbia,Telephones and Communication,0.6
785,Wilson Jones� Four-Pocket Poly Binders,Justin Knight,12199,5.27,British Columbia,Binders and Binder Accessories,0.36
786,"Dual Level, Single-Width Filing Carts",Justin Knight,12199,7.07,British Columbia,Storage & Organization,0.59
787,Economy Binders,Gene Hale,14275,1.49,British Columbia,Binders and Binder Accessories,0.36
788,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Gene Hale,14275,30,British Columbia,Chairs & Chairmats,0.62
789,X-Rack� File for Hanging Folders,Gene Hale,14535,5.03,British Columbia,Storage & Organization,0.59
790,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Rob Haberlin,15329,1.99,British Columbia,Computer Peripherals,0.5
791,Newell 323,Gene Hale,15621,1.57,British Columbia,Pens & Art Supplies,0.59
792,Eldon Portable Mobile Manager,Gene Hale,15621,13.99,British Columbia,Storage & Organization,0.58
793,Avery Binder Labels,Michelle Arnett,17826,7.01,British Columbia,Binders and Binder Accessories,0.37
794,Eldon Jumbo ProFile� Portable File Boxes Graphite/Black,Sally Knutson,17926,8.78,British Columbia,Storage & Organization,0.57
795,"Master Giant Foot� Doorstop, Safety Yellow",Rob Haberlin,18247,4,British Columbia,Office Furnishings,0.42
796,Newell 315,Justin Knight,18471,0.96,British Columbia,Pens & Art Supplies,0.6
797,Kleencut� Forged Office Shears by Acme United Corporation,Justin Knight,18471,2.56,British Columbia,"Scissors, Rulers and Trimmers",0.55
798,Xerox 1983,Justin Knight,18471,5.46,British Columbia,Paper,0.36
799,T61,Lena Cacioppo,19813,2.5,British Columbia,Telephones and Communication,0.56
800,Avery Poly Binder Pockets,Seth Vernon,20322,5.47,British Columbia,Binders and Binder Accessories,0.37
801,"Bush Westfield Collection Bookcases, Fully Assembled",Seth Vernon,20322,35.84,British Columbia,Bookcases,0.62
802,Xerox 196,Seth Vernon,20322,7.96,British Columbia,Paper,0.36
803,Nu-Dell Leatherette Frames,Gene Hale,20422,5,British Columbia,Office Furnishings,0.49
804,Colored Envelopes,Luke Weiss,20448,2.5,British Columbia,Envelopes,0.39
805,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Justin Knight,21892,4.97,British Columbia,Binders and Binder Accessories,0.38
806,Eldon Simplefile� Box Office�,Rob Haberlin,22980,6.27,British Columbia,Storage & Organization,0.57
807,6190,Julie Creighton,23907,2.5,British Columbia,Telephones and Communication,0.55
808,Panasonic KX-P3200 Dot Matrix Printer,Sanjit Chand,24064,14.7,British Columbia,Office Machines,0.57
809,Wilson Jones DublLock� D-Ring Binders,Justin Knight,24132,2.99,British Columbia,Binders and Binder Accessories,0.35
810,"Wilson Jones Hanging View Binder, White, 1""",Justin Knight,24132,6.05,British Columbia,Binders and Binder Accessories,0.39
811,"Fellowes Basic 104-Key Keyboard, Platinum",Justin Knight,24132,4,British Columbia,Computer Peripherals,0.6
812,Ibico Recycled Linen-Style Covers,Justin Knight,24132,10.55,British Columbia,Binders and Binder Accessories,0.37
813,Self-Adhesive Ring Binder Labels,Justin Knight,24132,6.83,British Columbia,Binders and Binder Accessories,0.38
814,"Tenex File Box, Personal Filing Tote with Lid, Black",Justin Knight,24132,17.78,British Columbia,Storage & Organization,0.59
815,1726 Digital Answering Machine,Luke Weiss,24576,4.81,British Columbia,Telephones and Communication,0.58
816,DAX Clear Channel Poster Frame,Luke Weiss,24576,7.4,British Columbia,Office Furnishings,0.48
817,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Christina Vanderzanden,25248,1.99,British Columbia,Computer Peripherals,0.52
818,Xerox 1891,Christina Vanderzanden,25248,5.81,British Columbia,Paper,0.38
819,Xerox 220,Lena Cacioppo,25475,7.49,British Columbia,Paper,0.37
820,Computer Printout Paper with Letter-Trim Perforations,Seth Vernon,26978,9.03,British Columbia,Paper,0.37
821,Wausau Papers Astrobrights� Colored Envelopes,Sanjit Chand,27105,2.5,British Columbia,Envelopes,0.36
822,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Sanjit Chand,27105,5.4,British Columbia,Office Furnishings,0.51
823,Belkin MediaBoard 104- Keyboard,Julie Creighton,28068,4,British Columbia,Computer Peripherals,0.75
824,"Executive Impressions 12"" Wall Clock",Sanjit Chand,28802,8.99,British Columbia,Office Furnishings,0.47
825,Southworth 25% Cotton Antique Laid Paper & Envelopes,Sanjit Chand,28802,4.82,British Columbia,Paper,0.4
826,6185,Sanjit Chand,28802,3,British Columbia,Telephones and Communication,0.58
827,"Eldon Spacemaker� Box, Quick-Snap Lid, Clear",Anthony Johnson,28839,7.49,British Columbia,Pens & Art Supplies,0.54
828,Xerox 1995,Anthony Johnson,29252,5.19,British Columbia,Paper,0.37
829,Honeywell Quietcare HEPA Air Cleaner,Kimberly Carter,31941,13.99,British Columbia,Appliances,0.52
830,Xerox 1993,Kimberly Carter,31941,9.68,British Columbia,Paper,0.36
831,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Marina Lichtenstein,32418,43.32,British Columbia,Chairs & Chairmats,0.55
832,"Strathmore #10 Envelopes, Ultimate White",Sanjit Chand,34241,2.5,British Columbia,Envelopes,0.36
833,Fellowes 8 Outlet Superior Workstation Surge Protector,Sally Knutson,34816,4.5,British Columbia,Appliances,0.56
834,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Sally Knutson,34816,19.99,British Columbia,Envelopes,0.38
835,Fiskars� Softgrip Scissors,Luke Weiss,35011,3.37,British Columbia,"Scissors, Rulers and Trimmers",0.57
836,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Anthony Johnson,36068,23.19,British Columbia,Appliances,0.59
837,Accessory20,Michelle Arnett,36930,3.3,British Columbia,Telephones and Communication,0.37
838,Xerox 1971,Luke Weiss,37315,5.17,British Columbia,Paper,0.4
839,5165,Luke Weiss,37315,4.99,British Columbia,Telephones and Communication,0.59
840,Lexmark Z54se Color Inkjet Printer,Luke Weiss,37925,14,British Columbia,Office Machines,0.36
841,StarTAC 7760,Luke Weiss,37925,3.99,British Columbia,Telephones and Communication,0.59
842,"Premier Elliptical Ring Binder, Black",Rob Haberlin,38021,1.49,British Columbia,Binders and Binder Accessories,0.37
843,Wilson Jones DublLock� D-Ring Binders,Julie Creighton,38336,2.99,British Columbia,Binders and Binder Accessories,0.35
844,Micro Innovations 104 Keyboard,Julie Creighton,38336,6.5,British Columbia,Computer Peripherals,0.64
845,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Justin Knight,38565,5.16,British Columbia,Office Furnishings,0.57
846,Eureka Disposable Bags for Sanitaire� Vibra Groomer I� Upright Vac,Sally Knutson,39783,6.89,British Columbia,Appliances,0.6
847,GBC Standard Plastic Binding Systems Combs,Sally Knutson,39783,5.6,British Columbia,Binders and Binder Accessories,0.36
848,Avery 520,Sally Knutson,39783,0.5,British Columbia,Labels,0.37
849,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Michelle Arnett,42500,4.5,British Columbia,Appliances,0.59
850,"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Michelle Arnett,42500,2.99,British Columbia,Binders and Binder Accessories,0.39
851,Fiskars� Softgrip Scissors,Julie Creighton,44162,3.37,British Columbia,"Scissors, Rulers and Trimmers",0.57
852,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Sally Knutson,44256,2.87,British Columbia,Paper,0.4
853,Xerox 226,Sally Knutson,44256,5.84,British Columbia,Paper,0.37
854,Sanford 52201 APSCO Electric Pencil Sharpener,Sally Knutson,44256,8.99,British Columbia,Pens & Art Supplies,0.59
855,Laminate Occasional Tables,Sally Knutson,44320,69,British Columbia,Tables,0.68
856,Round Ring Binders,Kimberly Carter,45377,1.49,British Columbia,Binders and Binder Accessories,0.38
857,Durable Pressboard Binders,Rob Haberlin,47367,1.49,British Columbia,Binders and Binder Accessories,0.38
858,Avery 52,Rob Haberlin,47367,0.5,British Columbia,Labels,0.38
859,Avery 492,Sally Knutson,47750,0.5,British Columbia,Labels,0.39
860,"Executive Impressions 13"" Chairman Wall Clock",Sally Knutson,47750,8.99,British Columbia,Office Furnishings,0.5
861,Binder Posts,Marina Lichtenstein,48388,5.01,British Columbia,Binders and Binder Accessories,0.39
862,Avery 498,Christina DeMoss,49059,0.5,British Columbia,Labels,0.38
863,Xerox 1891,Christina DeMoss,49059,5.81,British Columbia,Paper,0.38
864,DIXON Oriole� Pencils,Luke Weiss,49510,1.3,British Columbia,Pens & Art Supplies,0.59
865,Avery Durable Binders,Sally Knutson,49634,1.49,British Columbia,Binders and Binder Accessories,0.36
866,Avery 510,Michelle Arnett,50210,0.5,British Columbia,Labels,0.37
867,"Super Bands, 12/Pack",Michelle Arnett,50210,2.58,British Columbia,Rubber Bands,0.82
868,iDEN i95,Sanjit Chand,50503,19.99,British Columbia,Telephones and Communication,0.59
869,Staples 6 Outlet Surge,Anthony Johnson,50816,4.98,British Columbia,Appliances,0.58
870,Lock-Up Easel 'Spel-Binder',Anthony Johnson,50816,1.49,British Columbia,Binders and Binder Accessories,0.38
871,"Memorex 4.7GB DVD+R, 3/Pack",Anthony Johnson,50816,1.99,British Columbia,Computer Peripherals,0.42
872,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Luke Weiss,51073,24.49,British Columbia,Office Furnishings,0.59
873,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Luke Weiss,51073,3.92,British Columbia,Office Furnishings,0.44
874,Office Star Flex Back Scooter Chair with White Frame,Rob Haberlin,51584,30,British Columbia,Chairs & Chairmats,0.71
875,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",Monica Federle,51879,19.99,British Columbia,Office Furnishings,0.44
876,Southworth 25% Cotton Premium Laser Paper and Envelopes,Monica Federle,51879,8.68,British Columbia,Paper,0.37
877,Howard Miller 12-3/4 Diameter Accuwave DS � Wall Clock,Kimberly Carter,52288,19.99,British Columbia,Office Furnishings,0.43
878,Lock-Up Easel 'Spel-Binder',Michelle Arnett,53190,1.49,British Columbia,Binders and Binder Accessories,0.38
879,StarTAC 7760,Michelle Arnett,53190,3.99,British Columbia,Telephones and Communication,0.59
880,"Seth Thomas 12"" Clock w/ Goldtone Case",Sanjit Chand,53536,7.58,British Columbia,Office Furnishings,0.51
881,Bevis Round Conference Room Tables and Bases,Sanjit Chand,53536,56.2,British Columbia,Tables,0.71
882,#10 Self-Seal White Envelopes,Marina Lichtenstein,53572,5.25,British Columbia,Envelopes,0.36
883,Xerox 1885,Joy Smith,53825,7.23,British Columbia,Paper,0.37
884,Fellowes Super Stor/Drawer� Files,Christina DeMoss,53863,19.99,British Columbia,Storage & Organization,0.66
885,"Advantus Push Pins, Aluminum Head",Monica Federle,54119,3.37,British Columbia,Rubber Bands,0.54
886,Acco Perma� 2700 Stacking Storage Drawers,Monica Federle,54119,6.64,British Columbia,Storage & Organization,0.7
887,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Michelle Arnett,56224,5.44,British Columbia,Binders and Binder Accessories,0.36
888,Bevis Steel Folding Chairs,Michelle Arnett,56224,74.35,British Columbia,Chairs & Chairmats,0.57
889,"Staples Vinyl Coated Paper Clips, 800/Box",Michelle Arnett,56224,2.82,British Columbia,Rubber Bands,0.4
890,Bevis 36 x 72 Conference Tables,Michelle Arnett,56224,51.94,British Columbia,Tables,0.63
891,Telescoping Adjustable Floor Lamp,Michelle Arnett,56293,11.17,British Columbia,Office Furnishings,0.6
892,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Michelle Arnett,56293,6.25,British Columbia,Storage & Organization,0.58
893,"Advantus Push Pins, Aluminum Head",Sally Knutson,57959,3.37,British Columbia,Rubber Bands,0.54
894,"Micro Innovations Micro 3000 Keyboard, Black",Sally Knutson,57959,5.89,British Columbia,Computer Peripherals,0.75
895,LX 677,Christina DeMoss,58500,8.99,British Columbia,Telephones and Communication,0.57
896,"Bush Westfield Collection Bookcases, Fully Assembled",Joy Smith,59584,35.84,British Columbia,Bookcases,0.62
897,Canon MP41DH Printing Calculator,Joy Smith,59584,13.99,British Columbia,Office Machines,0.38
898,7160,Sonia Sunley,261,4.2,British Columbia,Telephones and Communication,0.59
899,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Anthony O'Donnell,928,3.99,British Columbia,Appliances,0.57
900,DAX Clear Channel Poster Frame,Anthony O'Donnell,928,7.4,British Columbia,Office Furnishings,0.48
901,"Memorex 4.7GB DVD-RAM, 3/Pack",Emily Grady,1282,1.99,British Columbia,Computer Peripherals,0.42
902,Prang Drawing Pencil Set,Emily Grady,1282,1.34,British Columbia,Pens & Art Supplies,0.45
903,Euro Pro Shark Stick Mini Vacuum,Alex Avila,1856,49,British Columbia,Appliances,0.59
904,M3682,Alex Avila,1856,8.08,British Columbia,Telephones and Communication,0.57
905,StarTAC 6500,Alex Avila,1856,8.8,British Columbia,Telephones and Communication,0.59
906,SAFCO Arco Folding Chair,Brian Moss,1925,24.49,British Columbia,Chairs & Chairmats,
907,Eldon Advantage� Chair Mats for Low to Medium Pile Carpets,Emily Grady,2848,15.9,British Columbia,Office Furnishings,0.75
908,SC7868i,Emily Grady,2848,8.99,British Columbia,Telephones and Communication,0.55
909,HP Office Recycled Paper (20Lb. and 87 Bright),Anna Andreadi,5504,7.64,British Columbia,Paper,0.36
910,KF 788,Anna Andreadi,5504,4.99,British Columbia,Telephones and Communication,0.56
911,Logitech Internet Navigator Keyboard,Emily Grady,8390,4,British Columbia,Computer Peripherals,0.8
912,ACCOHIDE� Binder by Acco,Barbara Fisher,8545,5.34,British Columbia,Binders and Binder Accessories,0.38
913,"O'Sullivan Elevations Bookcase, Cherry Finish",Barbara Fisher,8545,54.74,British Columbia,Bookcases,0.69
914,Serrated Blade or Curved Handle Hand Letter Openers,Emily Grady,9573,1.92,British Columbia,"Scissors, Rulers and Trimmers",0.84
915,"Tyvek � Top-Opening Peel & Seel Envelopes, Plain White",Kelly Williams,9892,8.23,British Columbia,Envelopes,0.38
916,Keytronic 105-Key Spanish Keyboard,Sonia Sunley,10048,4,British Columbia,Computer Peripherals,0.77
917,"*Staples* vLetter Openers, 2/Pack",Sonia Sunley,10048,1.32,British Columbia,"Scissors, Rulers and Trimmers",0.83
918,Hon 4700 Series Mobuis� Mid-Back Task Chairs with Adjustable Arms,Sonia Sunley,10144,58.92,British Columbia,Chairs & Chairmats,0.64
919,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Sonia Sunley,10144,30,British Columbia,Chairs & Chairmats,0.62
920,Global Adaptabilities� Conference Tables,Sonia Sunley,10144,35.67,British Columbia,Tables,0.66
921,Motorola SB4200 Cable Modem,Sonia Sunley,10432,19.99,British Columbia,Computer Peripherals,0.48
922,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Jocasta Rupert,10661,8.37,British Columbia,"Scissors, Rulers and Trimmers",0.58
923,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Sonia Sunley,12806,14.72,British Columbia,Envelopes,0.4
924,Wilson Jones DublLock� D-Ring Binders,Kelly Williams,13158,2.99,British Columbia,Binders and Binder Accessories,0.35
925,Strathmore Photo Mount Cards,Anna Andreadi,13507,6.18,British Columbia,Paper,0.39
926,Xerox 1978,Rick Duston,14375,5.67,British Columbia,Paper,0.36
927,"GBC White Gloss Covers, Plain Front",Sonia Sunley,14627,6.46,British Columbia,Binders and Binder Accessories,0.38
928,GBC DocuBind 200 Manual Binding Machine,Angele Hood,14852,19.99,British Columbia,Binders and Binder Accessories,0.35
929,Self-Adhesive Address Labels for Typewriters by Universal,Sonia Sunley,16230,0.49,British Columbia,Labels,0.38
930,"O'Sullivan Elevations Bookcase, Cherry Finish",Sonia Sunley,16230,54.74,British Columbia,Bookcases,0.69
931,Xerox 1891,Sonia Sunley,16230,5.81,British Columbia,Paper,0.38
932,Fellowes Recycled Storage Drawers,Sonia Sunley,16230,8.64,British Columbia,Storage & Organization,0.78
933,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Sonia Sunley,19074,68.02,British Columbia,Appliances,0.58
934,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Dennis Bolton,20194,6.67,British Columbia,Office Furnishings,0.49
935,Newell 312,Stewart Carmichael,21024,1.2,British Columbia,Pens & Art Supplies,0.55
936,Avery 487,Dennis Bolton,21509,0.5,British Columbia,Labels,0.38
937,Avery 487,Sonia Sunley,21856,0.5,British Columbia,Labels,0.38
938,Serrated Blade or Curved Handle Hand Letter Openers,Sonia Sunley,21856,1.92,British Columbia,"Scissors, Rulers and Trimmers",0.84
939,"Eureka Hand Vacuum, Bagless",Stewart Carmichael,22119,19.99,British Columbia,Appliances,0.57
940,Airmail Envelopes,Kelly Williams,22534,19.99,British Columbia,Envelopes,0.38
941,Keytronic French Keyboard,Sonia Sunley,22629,14.52,British Columbia,Computer Peripherals,0.65
942,TDK 4.7GB DVD-R,Kelly Williams,23011,1.99,British Columbia,Computer Peripherals,0.41
943,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Sonia Sunley,24070,4.97,British Columbia,Binders and Binder Accessories,0.38
944,Hon Olson Stacker Stools,Sonia Sunley,24070,24.49,British Columbia,Chairs & Chairmats,0.57
945,Newell 314,Sonia Sunley,24070,0.7,British Columbia,Pens & Art Supplies,0.6
946,Global Ergonomic Managers Chair,Sonia Sunley,24737,26.2,British Columbia,Chairs & Chairmats,0.59
947,Xerox 1995,Sonia Sunley,24737,5.19,British Columbia,Paper,0.37
948,Belkin 8 Outlet Surge Protector,Anna Andreadi,26373,5.33,British Columbia,Appliances,0.57
949,Canon Image Class D660 Copier,Seth Vernon,26978,24.49,British Columbia,Copiers and Fax,0.44
950,Xerox 1919,Seth Vernon,26978,5.86,British Columbia,Paper,0.36
951,Eldon Jumbo ProFile� Portable File Boxes Graphite/Black,Seth Vernon,26978,8.78,British Columbia,Storage & Organization,0.57
952,Accessory27,Alex Avila,27174,5,British Columbia,Telephones and Communication,0.85
953,Berol Giant Pencil Sharpener,Sarah Foster,27876,8.99,British Columbia,Pens & Art Supplies,0.56
954,Verbatim DVD-R 4.7GB authoring disc,Alex Avila,28582,1.99,British Columbia,Computer Peripherals,0.51
955,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Alex Avila,28582,2.87,British Columbia,Paper,0.4
956,Xerox 227,Anna Andreadi,28868,8.73,British Columbia,Paper,0.37
957,"Sauder Forest Hills Library, Woodland Oak Finish",Angele Hood,29857,36.09,British Columbia,Bookcases,0.77
958,GBC VeloBinder Electric Binding Machine,Sonia Sunley,29921,9.07,British Columbia,Binders and Binder Accessories,0.35
959,Accessory4,Kelly Williams,30659,0.99,British Columbia,Telephones and Communication,0.85
960,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Anna Andreadi,30660,69,British Columbia,Tables,0.68
961,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6� x 11�",Alex Avila,30883,1.6,British Columbia,Paper,0.38
962,Microsoft Internet Keyboard,Jim Karlsson,32871,4,British Columbia,Computer Peripherals,0.77
963,Xerox 1962,Sonia Sunley,33600,4.79,British Columbia,Paper,0.4
964,636,Alex Avila,33632,5.26,British Columbia,Telephones and Communication,0.57
965,Global Commerce� Series High-Back Swivel/Tilt Chairs,Lisa DeCherney,33665,69.55,British Columbia,Chairs & Chairmats,0.6
966,Wilson Jones Easy Flow II� Sheet Lifters,Barbara Fisher,34434,4.79,British Columbia,Binders and Binder Accessories,0.37
967,Avery White Multi-Purpose Labels,Barbara Fisher,34434,0.49,British Columbia,Labels,0.39
968,Accessory25,Barbara Fisher,34753,0.99,British Columbia,Telephones and Communication,0.57
969,Xerox 199,Lisa DeCherney,35364,5.68,British Columbia,Paper,0.4
970,Bretford Rectangular Conference Table Tops,Lisa DeCherney,35364,85.63,British Columbia,Tables,0.74
971,Bush Advantage Collection� Racetrack Conference Table,Lisa DeCherney,35364,110.2,British Columbia,Tables,0.67
972,T28 WORLD,Lisa DeCherney,35364,8.99,British Columbia,Telephones and Communication,0.6
973,Hon Comfortask� Task/Swivel Chairs,Barbara Fisher,35812,30,British Columbia,Chairs & Chairmats,0.69
974,Fellowes 17-key keypad for PS/2 interface,Barbara Fisher,35812,4,British Columbia,Computer Peripherals,0.75
975,Xerox 1938,Barbara Fisher,35812,5.86,British Columbia,Paper,0.37
976,"Executive Impressions 12"" Wall Clock",Alex Avila,37063,8.99,British Columbia,Office Furnishings,0.47
977,1726 Digital Answering Machine,Roy Skaria,37281,4.81,British Columbia,Telephones and Communication,0.58
978,Hon 4070 Series Pagoda� Armless Upholstered Stacking Chairs,Angele Hood,37798,48.8,British Columbia,Chairs & Chairmats,0.56
979,Rediform S.O.S. Phone Message Books,Seth Vernon,38017,0.8,British Columbia,Paper,0.36
980,StarTAC 3000,Seth Vernon,38017,7.69,British Columbia,Telephones and Communication,0.59
981,Staples� General Use 3-Ring Binders,Sarah Foster,38272,1.49,British Columbia,Binders and Binder Accessories,0.37
982,Adesso Programmable 142-Key Keyboard,Kelly Williams,39301,4,British Columbia,Computer Peripherals,0.79
983,"ACCOHIDE� 3-Ring Binder, Blue, 1""",Dennis Bolton,39367,5.04,British Columbia,Binders and Binder Accessories,0.38
984,Ampad #10 Peel & Seel� Holiday Envelopes,Dennis Bolton,39367,2.5,British Columbia,Envelopes,0.37
985,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Roy Skaria,39655,3.52,British Columbia,Computer Peripherals,0.68
986,Durable Pressboard Binders,Jim Karlsson,40803,1.49,British Columbia,Binders and Binder Accessories,0.38
987,"Global Leather and Oak Executive Chair, Black",Jim Karlsson,40803,64.73,British Columbia,Chairs & Chairmats,0.56
988,3M Organizer Strips,Barbara Fisher,40806,7.78,British Columbia,Binders and Binder Accessories,0.37
